state,dialog
384,I T I 407 A I I T I 500 T A I T I T S S S P P P P 200 R P 200 R P 200 R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 U U U U 200 U 200 U 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
385,I I T T I 500 A I T I T R R R P P P P 200 I 200 I 200 P 200 I 200 P 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
386,I I T I 500 A I T I T T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
387,I T I T I 500 A I T I T I T R R R R P P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
388,I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A I T I T I I 200 I 200 I 200 A A A B B B B B 200 B 200 B 200 B 200
389,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
390,I T I T I 500 A I I T T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 I 487 A A I 487 A
391,I T I T I 500 A I T I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 C I 200 I 200 C 200 A A A A I 487 A B B B B B 200 B 200 B 200 B 200
392,I T I T I 500 A I T I T S S S P P P P 200 R P 200 R P 200 R P P P 200 P P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
393,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
394,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U 200 U U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
395,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B B B 481 B 200 B 481 B 200 B 200 B 200
396,I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 S P 200 P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
397,I I T T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
398,I I T T I 500 A I T I T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
399,I T I T S S P P P 200 P 200 R R P P P 200 P 200 C C 200 C C 200 I 487 A I 487 A
400,I T I 407 A I I T I 500 A T I T I T S S S P P P P 200 P 200 S S P 200 S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
401,I T I T I 500 A I T I T R R R P P P P 200 I 200 I 200 P 200 I 200 P 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
402,I T I T I 500 I T I T I T I T A R R R R P P P P P 200 P 200 P 200 P 200 I 408 A I 200 I 200 I 200 A A I 200 A A B B B B B 200 B 200 B 200 B 200
403,I T I T I 500 I A I T I T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
404,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 C C C 200 C C 200 I 487 A I 487 A C 200 I 487 A
405,I T I T I 500 A I T I T W W W P P P P 200 P 200 P 200 R R R P P P I 200 I 200 P 200 P 200 I 200 P 200 A A A A B B B B 200 B 200 B 200
406,I I T I 500 A I T I T T R R I 200 I 200 R I 200 P P P P A P 200 A P 200 P 200 P 200 A A B B B B B 200 B 200 B 200 B 200
407,I I T T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
408,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 I T I I T T I I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
409,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A I I T T I T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
410,I T I T I T R R R P P 200 C C 200 C C C 200 C 200 I 487 A I 487 A I 487 A
411,I T I T I 500 A I T I T I 500 I T A I T W W I W T S S S S S P P P P P P 200 P 200 P 200 P 200 P 200 R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
412,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U 200 U 200 U U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U 200 B B B B B B 200 B 200 B 200 B 200 B 200
413,I I T T I 500 A I T I T R R R P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
414,I T I T I 500 A I T I T S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
415,I T I 407 A I I T T I 500 A I T I T I 502 A I 502 A I 502 A
416,I T I 407 A I I T T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
417,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
418,I T I T I 500 A I T I T R R R P P P 200 P 200 P P 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
419,I T I T I 500 A I T W W S S P P P 200 P 200 R R P P P 200 P 200 I 200 I 200 A A B B B 200 B 200
420,I T I T I 500 I I T I A T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
421,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A
422,I T I T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 B B B B 200 B 200 B 200
423,I T I T I 500 A I T I T S S S S S P P P P 200 R R P 200 P 200 R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
424,I T I 407 A I T I T I 500 I T A I T S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
425,I T I T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
426,I I T I 500 A I T I T T R R R P P P P 200 P 200 I 200 P 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
427,I T I T I 500 A I T I T I T R R R R P P P P P R R P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
428,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A I 200 A A B B B B B 200 B 200 B 200 B 200
429,I I T I 500 A I T I 500 A I T I T T I T R R R R P P P P P 200 P 200 P 200 P 200 C C C 200 I 487 A C C 200 C C 200 I 487 A I 487 A C 200 I 487 A
430,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 C C C 200 C C 200 I 487 A I 487 A C 200 I 487 A
431,I I T I 500 A T I T I T R R R P P P P 200 P 200 P 200 C C C 200 C C 200 I 487 A I 487 A C 200 I 487 A
432,I T I T I 500 A I I T I T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
433,I T I T R R P P P 200 P 200 I 200 I 200 A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B 200 B 200
434,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 R P 200 R P 200 P 200 R P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
435,I T I T I T I T R R I 200 I 200 S S P P P 200 P 200 A A B B B 200 B 200 C C 200 C C 200 I 487 A I 487 A
436,I T I T I 500 A I T I T R R R C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
437,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
438,I I T T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
439,I T I T I 500 A I T I T S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
440,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 B B B B 200 B 200 B 200
441,I T I 407 A I T I T I 500 A I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
442,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
443,I T I 407 A I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 U U U 200 U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
444,I T I T I 500 A I T I T S S S P P P P 200 P 200 R R P 200 R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
445,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 408 A I 408 A C C 200 C C 200 C C 200 C C 200 I 487 A I 408 A I 408 A I 408 A
446,I T I 407 A I I T I 500 A T I T I T R R R P P P P 200 P 200 P 200 I 480 A I 480 A I 480 A
447,I T I T I 500 A I T I 486 A I 486 A
448,I T I T I 500 A I T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 S S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
449,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 R R P 200 P 200 R P P P P 200 P 200 R R P 200 R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
450,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 R P 200 R P 200 P 200 R P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
451,I T I T I 500 A I T I T W W I T S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
452,I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 S S S P P P P 200 S S P 200 P 200 S P P P P 200 S P 200 S S P 200 P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
453,I T I 407 A I T I T I 500 I T A I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
454,I I T T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
455,I T I 407 A I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P R R P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B B 200 B 200 B 200 B 200 B 200
456,I T I T I 500 I T I T I T A R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 I 487 A A I 487 A I 487 A
457,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 486 A I 486 A I 486 A
458,I T I T I 500 I A T I T S S S P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A
459,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 C C C 200 C C 200 C C 200 C C 200 C 200 I 487 A I 487 A I 487 A I 487 A I 487 A
460,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 W W W P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
461,I T I T I 500 A I T I 486 I 486 A A
462,I T I 407 A I I T I 500 A T I T I T R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
463,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B 200
464,I I T T I 500 I T A I T S S S P P P P 200 S S P 200 P 200 S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
465,I T I T I 500 I A T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
466,I T I T I 500 A I T I T S S S P P P 200 P 200 P P 200 R R R P P P P 200 P 200 P 200 I 480 A I 480 A I 480 A
467,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
468,I T I T I 500 I I T I T A T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
469,I T I T I 500 I T I T A I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
470,I I T I 500 A I T T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 C C C 200 C C 200 C 200 I 487 A I 487 A I 487 A
471,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 S P 200 S P 200 S P P P P 200 R R P 200 P 200 R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
472,I T I T I 500 A I T I T I 404 A I 404 A S P P 200 C C 200 I 404 A
473,I T I T I 500 A I T I T I T R R R R C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
474,I I T T I 500 A I T I T I 500 I A T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U 200 U 200 U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
475,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
476,I T I T I 500 I T A I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 I 487 C C 200 C A I 487 A C 200 I 487 A I 487 A
477,I T I T I 500 I A T I T I 486 A I 486 A I 486 A
478,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R I 200 I 200 R I 200 P P P P 200 A P 200 A P 200 A A B B B B 200 B 200 B 200
479,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
480,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B B 200 B 200 B 200 B 200 B 200
481,I I T T I 500 A I T I T I 404 A I 404 A S P P 200 I 404 A
482,I T I 407 A I T I T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
483,I T I T I 500 A I T I T I T R R R R I 200 I 200 I 200 I 200 A A A A I T I T I T I I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
484,I T I 407 A I I T I 500 A I T T I T R R R P P P P 200 P 200 P 200 C C C 200 C C 200 C 200 I 487 A I 487 A I 487 A
485,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 I 486 A I 486 A I 486 A
486,I I T T I 500 A I T I T I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
487,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U U U 200 U 200 B B B B B B 200 B 200 B 200 B 200 B 200
488,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
489,I T I 407 A I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
490,I T I T I 500 A I T W W I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 I 487 C A I 487 C 200 C A C 200 I 487 A I 487 A
491,I T I 407 A I T I T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
492,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 R R P 200 P 200 P 200 R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
493,I T I 407 A I I T T I 500 A I T I T R R R P P P P 200 I 200 P 200 I 200 P 200 I 200 A A A A B B B B 200 B 200 B 200
494,I T I T I 500 A I T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A I 480 A
495,I T I 407 A I I T T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
496,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U U 200 U 200 U 200 U 200 B B B B 200 B 200 B 200
497,I T I T I 500 A I T I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 C I 200 I 200 C 200 A A A A I 408 A B B B B B 200 B 200 B 200 B 200
498,I I T T I 500 A I T I T S S S P P P P 200 R R P 200 P 200 R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 U U U U 200 U 200 U 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
499,I T I T I 500 A I T I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 408 A I 408 A C C 200 C C 200 C C 200 C C 200 I 487 A I 408 A I 408 A I 408 A
500,I I T T I 500 A I T I T W W W P P P P 200 P 200 P 200 R R R P P I 200 P I 200 I 200 P 200 P 200 P 200 A A A A B B B 200 B B 200 B 200
501,I T I T I 500 I A I T I T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
502,I I T T I 500 A I T I T I 403 A I 403 A I 403 A
503,I T I T I 500 A I T I T S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
504,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 W W W P P P P 200 P 200 P 200 S S S P P P P 200 S S P 200 P 200 S P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
505,I T I T I 500 A I T I T I T W W S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 I 487 A A I 487 A I 487 A
506,I T I T I 500 I T A I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
507,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 I 487 A I 487 A W W R R P P P 200 P 200 I 480 A I 480 A
508,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 R R R I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
509,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 I 486 A I 486 A I 486 A
510,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 R R P 200 R R R P R P P P P 200 P 200 P P 482 P 200 P 200 I 486 A I 486 A I 486 A
511,I I T I 500 A T I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
512,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
513,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 S S P 200 P 200 S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
514,I T I T I 500 A I T I T I T I 404 A R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 404 A I 404 A I 404 A
515,I T I T I 500 A I T I T S S S S S P P P 200 P 200 P P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
516,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 I 487 A I 487 A A
517,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A I T I I T I T I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
518,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 R R P 200 R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
519,I I T T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
520,I I T I 500 A I T I T T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
521,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A
522,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
523,I T I T I 500 A I T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 S S S S P P P P P 200 P 200 P 200 P 200 S S S S P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A I 480 A
524,I T I 407 A I I T T I 500 A I T I T S S S P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
525,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C C 200 C 200 C C 200 I 487 I 487 A I 487 A I 487 A A
526,I T I T I 500 A I T I T S S S P P P P P 200 I 200 P 200 P 200 P 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
