state,dialog
35,I T I 407 A I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B 200 B 200 B 200 B 200
36,I I T T I 500 A I T I T I 404 A I 404 A S P P 200 C C 200 I 404 A
37,I T I T I 500 A I T I T I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
38,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 I 487 C A C 200 I 487 C A C 200 I 487 A I 487 A
39,I I T I 500 A T I T I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
40,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A I I T I T T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
41,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
42,I T I T I 500 A I T I T I T R R R R I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
43,I I T T I 500 A I T I T I 486 A I 486 A I 486 A
44,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B B 200 B 200 B 200 B 200 B 200
45,I I T I 500 A I T T I T S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
46,I T I T I 500 A I I T I T T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 I 487 A A
47,I I T I 500 I T A T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B B B 200 B 200 B 200 B 200 B 200
48,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
49,I T I T I 500 I A T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
50,I T I T S S P P P 200 I 200 P 200 I 200 A A B B B 200 B 200
51,I I T T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
52,I T I T I 500 I T I T I A T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
53,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
54,I T I T I 500 A I T I T I 484 A I 484 A I 484 A
55,I I T T I 500 A I T I T I 484 A I 484 A I 484 A
56,I T I T I 500 A I T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
57,I I T T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
58,I T I T I 500 A I T I T R R R P P P 200 P 200 P P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
59,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
60,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
61,I T I 407 A I I T I 500 A T I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A I T I T I T I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
62,I I T I 500 A T I T I T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
63,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A I T I I T T I I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
64,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 R R P 200 P 200 P 200 R P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
65,I T I T R R P P P 200 P 200 C C 200 C C 200 I 487 A I 487 A
66,I I T I 500 A T I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
67,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U 200 U 200 U U U 200 U 200 U 200 U U U 200 U 200 U U U U 200 U 200 U 200 B B B B B B 200 B 200 B 200 B 200 B 200
68,I T I T I 500 I T I T I A T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
69,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
70,I I T I 500 A T I T I T I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
71,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 I 487 A I 487 I 487 A A A
72,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 W W W P P P P P 200 P 200 P 200 P 200 I 486 A I 486 A I 486 A
73,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
74,I T I T I 500 A I T I T S S S P P P P 200 S P 200 S P 200 S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 S S S P P P P 200 S S P 200 P 200 S P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
75,I T I 407 A I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 R R R P R R P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
76,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C C 200 C C 200 C 200 I 487 A I 487 A I 487 A I 487 A
77,I T I 407 A I I T I 500 A T I T I T R R R P P P P P 200 P 200 P 200 P 200 C C C 200 C C 200 I 487 C 200 A I 487 A I 487 A
78,I I T I 500 A T I T I T R R R P P P P P 200 P 200 P 200 P 200 I 486 A I 486 A I 486 A
79,I T I T I 500 A I T W W I 486 A I 486 A
80,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 I 487 A A I 487 A
81,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B B B 200 B 200 B 200 B 200 B 200 B 200
82,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
83,I T I T I 500 A I T I T I 500 I T I T I T A R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A B B B B B B 200 B 200 B 200 B 200 B 200
84,I T I T I 500 A I T I T S S S S S P P P P 200 S S P 200 P 200 S P P P P 200 P 200 P 200 R R R P P P 200 P 200 P P 200 I 200 I 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
85,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
86,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C C 200 C C 200 C 200 I 487 I 487 A A I 487 A I 487 A
87,I I T T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A I I T T I T I T I I 200 I 200 I 200 B B B 200 I 200 B 200 I 200 I 200 B B B B 200 B 200 B 200 I 200 I 200 I 200 I 200
88,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
89,I I T I 500 A I T I T T I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
90,I T I T I 500 I T A I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
91,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A I T I T I T I T I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
92,I T I T I 500 A I T I T S S S P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 R R R I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
93,I T I T I 500 A I T I T S S S P P P P P 200 R P 200 R P 200 P 200 R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
94,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 I 487 A A
95,I I T I 500 A I T T I T S S S P P P P 200 P 200 P 200 R R R P P P P 200 P 200 P 200 C C C 200 C C 200 C 200 I 487 A I 487 A I 487 A
96,I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 603 A I 603 A I 603 A
97,I I T I 500 A T I T I T S S S P P P P 200 R P 200 R P 200 R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 U U U U 200 U 200 U 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
98,I T I 407 A I I T T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B 200 B 200 B 200 B 200
99,I I T T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A B B B B B B 200 B 200 B 200 B 200 B 200
100,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A I T I T I T I I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
101,I T I T I 500 A I T I T W W W P P P P P 200 P 200 P 200 P 200 R R R P P P P I 200 I 200 P 200 P 200 P 200 I 200 P 200 A A A A B B B B B 200 B 200 B 200 B 200
102,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 R P 200 R P 200 R P P P P 200 P 200 P 200 C C C 200 C 200 C C 200 I 487 A I 487 A I 487 A
103,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B B B 200 B 481 B 481 B 200 B 200 B 200
104,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A I T I T I T I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
105,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
