baseline,TN,FP,FN,TP,specificity,sensitivity,precision,recall,accuracy,f1
n-gram + Linear SVM,171,529,223,77,0.24428571428571427,0.25666666666666665,0.12706270627062707,0.25666666666666665,0.248,0.16997792494481237
Random Forest (engineered SIP features),89,611,0,300,0.12714285714285714,1.0,0.32930845225027444,1.0,0.389,0.495458298926507
Markov / HMM-style likelihood baseline,194,506,80,220,0.27714285714285714,0.7333333333333333,0.30303030303030304,0.7333333333333333,0.414,0.42884990253411304
Transformer encoder,161,539,20,280,0.23,0.9333333333333333,0.3418803418803419,0.9333333333333333,0.441,0.5004468275245755
